zone,LZCODE,lzname,sof_crop,sof_livestock,soc_labour,soc_total,cp_tobacco,cp_sugar,cp_tea,cp_coffee,se_firewoord,se_grass,se_wildfood,se_charcoal,se_matmaking,se_basket
1,MW01,Central Karonga,0.761571055,0,3200,12300,0,0,0,0,2100,0,0,0,0,0
2,MW02,Chitipa Millet & Maize,0.55286815,0,3100,10300,0,0,0,0,240,1200,0,0,300,200
3,MW03,Kasungu Lilongwe Plain,0.547134352,0,2000,9137.5,6000,0,0,0,250,0,0,0,0,0
4,MW04,Lake Chilwa - Phalombe Plain,0.516107556,0,2110,12800.6,0,0,0,0,720,300,0,0,0,0
5,MW05,Lower Shire,0.687761379,0,2600,11425,0,0,0,0,1900,0,0,0,0,0
6,MW06,Middle Shire Valley,0.546544023,0,4500,14715,0,0,0,0,0,0,0,1680,0,0
7,MW07,Misuku Hills,0.741697868,0,1500,15400,0,0,0,0,0,0,0,0,1600,2000
8,MW08,Mzimba Self Sufficient,0.673284815,0,1500,6203.75,700,0,0,0,250,250,0,0,0,0
9,MW09,Nkhata Bay Cassava,0.879636349,0,5400,21890,0,0,0,0,750,250,0,0,0,0
10,MW10,Northern Karonga,0.677910189,0,8400,23130,0,0,0,0,1080,0,0,0,0,0
11,MW11,Northern Lakeshore,0.61018165,0,3500,17525,0,0,0,0,0,0,12600,0,0,0
12,MW12,Phirilongwe Hills,0.518589162,0,6549.92,26429.92,2500,0,0,0,1170,360,0,0,0,0
13,MW13,Rift Valley Escarpment,0.582308726,0,3500,21469,0,0,0,0,583,0,0,0,1770,0
14,MW14,Shire Highlands,0.535245529,0,4770,10475,0,0,0,0,0,580,0,0,0,0
15,MW15,Southern Lakeshore,0.461774528,0,14430,28672,0,0,0,0,1635,925,0,0,0,0
16,MW16,Thyolo Mulunje Tea Estates,0.474742394,0,9180,21925,0,2250,0,0,1920,150,0,0,0,0
17,MW17,Western Rumphi & Mumba,0.532074615,0,2610,18300,13740,0,0,0,0,0,0,0,0,0
18,MW19,Urban Area (Border Productive Highlands),0.293608136,0,10677.06,31600.06,0,0,0,0,2730,0,0,0,0,0